english,russian,sentence
hello,привет,"Привет, как дела?"
goodbye,до свидания,До свидания! Увидимся завтра.
thank you,спасибо,Спасибо большое за помощь.
please,пожалуйста,Пожалуйста, помогите мне.
yes,да,Да я понимаю.
no,нет,Нет это неправильно.
water,вода,Можно стакан воды?
book,книга,Эта книга очень интересная.
house,дом,Мой дом здесь.
good,хороший,Это хороший вопрос.
bad,плохой,Это плохая идея.
man,мужчина,Этот мужчина мой друг.
woman,женщина,Эта женщина — врач.
child,ребёнок,Ребёнок играет в парке.
dog,собака,Собака лает у двери.
cat,кошка,Кошка спит на диване.
city,город,Москва — красивый город.
street,улица,Он живёт на этой улице.
food,еда,Еда была очень вкусной.
work,работа,Я иду на работу.
